Movie_title,Year,Ratings,Runtime,Age_limit,Votes
1. The Shawshank Redemption,1994,9.3,2h 22m,R, (3.1M)
2. The Godfather,1972,9.2,2h 55m,R, (2.2M)
3. The Dark Knight,2008,9.1,2h 32m,PG-13, (3.1M)
4. The Godfather Part II,1974,9.0,3h 22m,R, (1.5M)
5. 12 Angry Men,1957,9.0,1h 36m,Approved, (948K)
6. The Lord of the Rings: The Return of the King,2003,9.0,3h 21m,PG-13, (2.1M)
7. Schindler's List,1993,9.0,3h 15m,R, (1.5M)
8. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2h 58m,PG-13, (2.1M)
9. Pulp Fiction,1994,8.8,2h 34m,R, (2.4M)
"10. The Good, the Bad and the Ugly",1966,8.8,2h 58m,R, (868K)
11. Forrest Gump,1994,8.8,2h 22m,PG-13, (2.4M)
12. The Lord of the Rings: The Two Towers,2002,8.8,2h 59m,PG-13, (1.9M)
13. Fight Club,1999,8.8,2h 19m,R, (2.5M)
14. Inception,2010,8.8,2h 28m,PG-13, (2.7M)
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m,PG, (1.5M)
16. The Matrix,1999,8.7,2h 16m,R, (2.2M)
17. Goodfellas,1990,8.7,2h 25m,R, (1.3M)
18. Interstellar,2014,8.7,2h 49m,PG-13, (2.4M)
19. One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m,R, (1.1M)
20. Se7en,1995,8.6,2h 7m,R, (1.9M)
21. It's a Wonderful Life,1946,8.6,2h 10m,PG, (534K)
22. The Silence of the Lambs,1991,8.6,1h 58m,R, (1.7M)
23. Seven Samurai,1954,8.6,3h 27m,Not Rated, (390K)
24. Saving Private Ryan,1998,8.6,2h 49m,R, (1.6M)
25. The Green Mile,1999,8.6,3h 9m,R, (1.5M)
26. City of God,2002,8.6,2h 10m,R, (849K)
27. Life Is Beautiful,1997,8.6,1h 56m,PG-13, (790K)
28. Terminator 2: Judgment Day,1991,8.6,2h 17m,R, (1.3M)
29. Star Wars: Episode IV - A New Hope,1977,8.6,2h 1m,PG, (1.5M)
30. Back to the Future,1985,8.5,1h 56m,PG, (1.4M)
31. Spirited Away,2001,8.6,2h 4m,PG, (930K)
32. The Pianist,2002,8.5,2h 30m,R, (983K)
33. Gladiator,2000,8.5,2h 35m,R, (1.8M)
34. Parasite,2019,8.5,2h 12m,R, (1.1M)
35. Psycho,1960,8.5,1h 49m,R, (763K)
36. The Lion King,1994,8.5,1h 28m,G, (1.2M)
37. Grave of the Fireflies,1988,8.5,1h 28m,Not Rated, (362K)
38. The Departed,2006,8.5,2h 31m,R, (1.5M)
39. Whiplash,2014,8.5,1h 46m,R, (1.1M)
40. Harakiri,1962,8.6,2h 13m,Not Rated, (83K)
41. The Prestige,2006,8.5,2h 10m,PG-13, (1.5M)
42. American History X,1998,8.5,1h 59m,R, (1.2M)
43. Léon: The Professional,1994,8.5,1h 50m,R, (1.3M)
44. Spider-Man: Across the Spider-Verse,2023,8.5,2h 20m,PG, (480K)
45. Casablanca,1942,8.5,1h 42m,PG, (640K)
46. Cinema Paradiso,1988,8.5,2h 54m,PG, (307K)
47. The Intouchables,2011,8.5,1h 52m,R, (994K)
48. The Usual Suspects,1995,8.5,1h 46m,R, (1.2M)
49. Alien,1979,8.5,1h 57m,R, (1M)
50. Modern Times,1936,8.5,1h 27m,G, (277K)
51. Rear Window,1954,8.5,1h 52m,PG, (554K)
52. Django Unchained,2012,8.5,2h 45m,R, (1.8M)
53. Once Upon a Time in the West,1968,8.5,2h 46m,PG-13, (374K)
54. City Lights,1931,8.5,1h 27m,G, (210K)
55. Apocalypse Now,1979,8.4,2h 27m,R, (751K)
56. WALL·E,2008,8.4,1h 38m,G, (1.3M)
57. Memento,2000,8.4,1h 53m,R, (1.4M)
58. Dune: Part Two,2024,8.5,2h 46m,PG-13, (665K)
59. Raiders of the Lost Ark,1981,8.4,1h 55m,PG, (1.1M)
60. Avengers: Infinity War,2018,8.4,2h 29m,PG-13, (1.3M)
61. The Lives of Others,2006,8.4,2h 17m,R, (432K)
62. Sunset Boulevard,1950,8.4,1h 50m,Approved, (252K)
63. Spider-Man: Into the Spider-Verse,2018,8.4,1h 57m,PG, (751K)
64. Witness for the Prosecution,1957,8.4,1h 56m,Approved, (154K)
65. Paths of Glory,1957,8.4,1h 28m,Approved, (230K)
66. The Shining,1980,8.4,2h 26m,R, (1.2M)
67. The Great Dictator,1940,8.4,2h 5m,G, (252K)
68. Inglourious Basterds,2009,8.4,2h 33m,R, (1.7M)
69. 12th Fail,2023,8.7,2h 27m,N/A, (156K)
70. Aliens,1986,8.4,2h 17m,R, (820K)
71. The Dark Knight Rises,2012,8.4,2h 44m,PG-13, (1.9M)
72. Coco,2017,8.4,1h 45m,PG, (668K)
73. Amadeus,1984,8.4,2h 40m,PG, (455K)
74. Avengers: Endgame,2019,8.4,3h 1m,PG-13, (1.4M)
